,Answer,Gender,Center,Year,Days,ZipCode,GoStage1,GoStage2,GoStage3,SameBack,BackStage1,BackStage2,BackStage3,Fastest,Cheapest,Comfortable,OnlyOption,Environmental,Healthiest,OtherTrips,Other
54,174,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,3,8950,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,Yes,Yes,No,No,No,No,No,
55,176,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Third,5,8750,On foot,Bus,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
56,178,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8021,On foot,Bicycle,On foot,Yes,,,,No,No,No,No,Yes,Yes,No,
57,179,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Second,5,8004,Bicycle,Underground,Underground,Yes,,,,Yes,No,Yes,No,No,No,No,
58,183,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,5,8901,FGC,Renfe,On foot,Yes,,,,Yes,No,No,No,No,No,No,
59,184,Man,Faculty of Mathematics and Statistics (FME),First,5,,On foot,Bus,On foot,Yes,,,,Yes,No,No,No,No,No,No,
60,186,Man,Barcelona School of Informatics (FIB),First,5,8391,Bus,Renfe,Underground,Yes,,,,No,No,No,Yes,No,No,No,
61,188,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8100,On foot,Renfe,Underground,Yes,,,,Yes,No,Yes,No,No,No,No,
62,193,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8849,Bus,Renfe,FGC,Yes,,,,No,No,No,Yes,No,No,No,
63,197,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Third,5,8850,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,Yes,No,Yes,No,No,No,No,
64,198,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Third,5,8800,On foot,Bus,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
65,202,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,5,8028,On foot,On foot,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
66,204,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,6,8022,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,Yes,No,No,No,No,No,No,
67,205,Man,School of Engineering of Barcelona East (EEBE),First,5,8004,On foot,Underground,Tram,Yes,,,,Yes,No,No,No,Yes,No,No,
68,207,Man,School of Engineering of Barcelona East (EEBE),Second,5,8172,On foot,FGC,Underground,Yes,,,,Yes,No,Yes,No,No,No,No,
69,210,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,4,8031,On foot,Underground,Renfe,Yes,,,,No,No,No,Yes,No,No,No,
70,212,Woman,Barcelona School of Informatics (FIB),First,4,8036,Tram,,,Yes,,,,Yes,Yes,No,No,No,No,No,
71,214,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,3,8205,On foot,FGC,On foot,No,Bus,FGC,,No,Yes,No,No,Yes,No,No,
72,215,Man,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8011,On foot,Bus,On foot,Yes,,,,Yes,No,No,No,No,No,No,
73,216,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,5,8140,On foot,Bus,Underground,Yes,,,,Yes,No,No,Yes,No,No,No,
74,221,Man,School of Engineering of Barcelona East (EEBE),First,5,8032,Bicycle,Bicycle,Bicycle,Yes,,,,Yes,No,No,No,No,No,No,
75,223,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8184,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,Yes,No,No,No,No,
76,224,Man,School of Engineering of Barcelona East (EEBE),Second,5,8034,On foot,Underground,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
77,225,Man,Barcelona School of Informatics (FIB),Third,4,8014,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Scooter (or other micro-mobility devices) with renewable charging,Yes,,,,Yes,Yes,No,No,No,No,No,
78,227,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8036,On foot,Bicycle,Bicycle,Yes,,,,No,Yes,No,No,Yes,No,No,
79,229,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,5,8028,On foot,Underground,On foot,Yes,,,,Yes,No,No,No,No,No,No,
80,231,Woman,School of Engineering of Barcelona East (EEBE),Second,4,8027,On foot,Underground,On foot,Yes,,,,No,Yes,No,Yes,No,No,No,
81,232,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8860,Renfe,FGC,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
82,233,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8028,Bus,Tram,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
83,235,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,5,,On foot,FGC,Underground,Yes,,,,No,No,No,Yes,No,No,No,
84,236,Man,School of Engineering of Barcelona East (EEBE),Third,5,8019,On foot,Underground,On foot,Yes,,,,No,No,Yes,No,Yes,No,No,
85,240,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8008,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,No,On foot,On foot,On foot,Yes,No,No,No,No,Yes,No,
86,242,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8192,On foot,Taxi,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,Yes,Yes,No,No,No,No,No,
87,245,Man,School of Engineering of Barcelona East (EEBE),Fourth,5,8012,Tram,Underground,,Yes,,,,Yes,Yes,No,No,No,No,No,
88,250,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Third,5,8860,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,No,Yes,No,No,Yes,No,No,
89,252,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,5,8912,Underground,Underground,Underground,Yes,,,,Yes,Yes,No,No,No,No,No,
90,253,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8840,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,,Yes,,,,No,Yes,No,No,No,No,No,
91,254,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,8290,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Renfe,Yes,,,,No,Yes,No,No,No,No,No,
92,258,Man,School of Engineering of Barcelona East (EEBE),Third,5,8030,Bicycle,Bicycle,Bicycle,Yes,,,,Yes,Yes,No,No,No,No,No,
93,263,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,4,8242,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,No,No,Yes,No,No,No,Yes,
94,264,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,2,8150,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,No,No,No,No,No,No,Yes,
95,265,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,1,8170,On foot,FGC,On foot,Yes,,,,No,Yes,No,No,No,No,No,
96,266,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Fourth,5,8860,,,On foot,Yes,,,,No,Yes,No,No,No,No,No,
97,269,Woman,School of Architecture of Vallès (ETSAV),Fourth,5,8024,Bus,FGC,On foot,Yes,,,,No,Yes,No,No,No,No,No,
98,271,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,5,8029,Bus,Bus,Bus,Yes,,,,Yes,No,No,Yes,No,No,No,
99,273,Man,School of Engineering of Barcelona East (EEBE),Second,4,8027,On foot,Underground,Tram,Yes,,,,Yes,No,Yes,No,No,No,No,
100,277,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,1,8800,On foot,Renfe,On foot,Yes,,,,No,No,Yes,No,No,Yes,No,
101,280,Man,School of Engineering of Barcelona East (EEBE),Fourth,3,8042,On foot,Underground,On foot,Yes,,,,Yes,No,No,No,Yes,No,No,
102,282,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,5,8979,On foot,Renfe,,Yes,,,,No,No,No,Yes,Yes,No,No,
103,284,Man,Faculty of Nautical of Barcelona (FNB),Second,2,8950,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,No,No,Yes,No,Yes,No,No,
104,287,Woman,Faculty of Mathematics and Statistics (FME),First,5,8042,Bus,Underground,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
105,288,Woman,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Third,1,8036,Tram,,,No,Bus,,,Yes,Yes,No,No,No,No,No,
106,289,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,5,8026,On foot,Underground,Renfe,Yes,,,,Yes,No,No,No,No,No,No,
107,291,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,4,8015,On foot,Bus,Underground,No,Underground,Bus,,Yes,No,No,No,No,No,No,
108,292,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8030,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,,,,Yes,No,Yes,No,No,No,No,
109,293,Man,Barcelona School of Informatics (FIB),First,4,8930,Tram,Underground,Bus,No,Tram,Bus,Tram,Yes,No,Yes,No,No,No,No,
110,294,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Third,4,8014,On foot,Renfe,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
111,295,Man,Barcelona School of Informatics (FIB),Third,5,8206,On foot,FGC,Bus,Yes,,,,No,Yes,Yes,No,No,No,No,
112,296,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,5,8440,On foot,Renfe,Underground,Yes,,,,No,Yes,No,Yes,No,No,No,
113,311,Woman,Barcelona School of Informatics (FIB),Second,4,,On foot,Bus,,Yes,,,,Yes,No,Yes,No,No,No,No,
114,315,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,5,8901,Underground,,,Yes,,,,Yes,No,Yes,No,No,No,No,
115,316,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8013,,,Underground,Yes,,,,No,Yes,No,No,Yes,No,No,
116,318,Man,School of Engineering of Barcelona East (EEBE),Fourth,1,8172,On foot,FGC,Underground,Yes,,,,No,Yes,No,No,No,No,No,
117,319,Man,School of Engineering of Barcelona East (EEBE),First,5,8340,On foot,Renfe,Tram,Yes,,,,Yes,No,No,No,Yes,No,No,
118,320,Man,School of Engineering of Barcelona East (EEBE),Second,5,8870,On foot,,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,No,No,Yes,No,No,No,No,
119,321,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8225,FGC,,,Yes,,,,Yes,No,Yes,No,No,No,No,
120,322,Man,School of Engineering of Barcelona East (EEBE),First,5,8290,Bus,Underground,Tram,Yes,,,,Yes,No,No,No,No,No,No,I also walk to get to the bus stop
121,323,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,,Bus,Bus,Bus,Yes,,,,Yes,No,Yes,No,No,No,No,
122,324,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Third,1,,Underground,,,Yes,,,,Yes,Yes,No,No,No,No,No,
123,325,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Second,4,8028,Bus,On foot,Underground,Yes,,,,No,Yes,No,No,No,No,No,
124,327,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8014,Underground,,,Yes,,,,Yes,No,Yes,No,No,No,No,
125,330,Man,Higher Technical School of Architecture of Barcelona (ETSAB),First,4,8904,Underground,,,Yes,,,,Yes,No,Yes,No,No,No,No,
126,331,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,3,8016,Underground,On foot,,Yes,,,,Yes,No,No,No,Yes,No,No,
127,336,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8339,Combustion or electric motorcycle with non-renewable source charging,,,Yes,,,,Yes,No,Yes,No,No,No,No,
128,337,Man,Faculty of Mathematics and Statistics (FME),Third,5,8197,Bus,FGC,Bus,Yes,,,,Yes,No,Yes,No,No,No,No,
129,338,Man,Barcelona School of Informatics (FIB),First,5,8830,Bus,Bus,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
130,339,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,1,8015,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,,,,Yes,No,No,No,No,No,No,
131,341,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8003,On foot,Underground,,Yes,,,,Yes,Yes,No,No,No,No,No,
132,343,Man,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8006,On foot,Bicycle,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
133,344,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8228,On foot,FGC,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
134,345,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8020,On foot,Underground,Tram,Yes,,,,No,Yes,No,No,No,No,No,
135,347,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Second,5,8029,Tram,On foot,,Yes,,,,Yes,No,Yes,No,No,No,No,
136,348,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,5,8015,On foot,Underground,,Yes,,,,Yes,No,No,No,No,No,No,
137,350,Woman,Faculty of Mathematics and Statistics (FME),First,5,8391,Renfe,Underground,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
138,351,Man,Barcelona School of Informatics (FIB),First,4,8028,On foot,Underground,On foot,Yes,,,,Yes,No,Yes,No,No,No,No,
139,354,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Second,4,8013,On foot,,Bus,Yes,,,,No,Yes,Yes,No,No,No,No,
140,355,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8860,On foot,Bus,Electric motorcycle,Yes,,,,Yes,No,No,No,No,No,No,
141,362,Woman,Barcelona School of Informatics (FIB),First,5,8201,On foot,FGC,Bus,No,Underground,Renfe,On foot,No,No,No,No,No,No,No,I don't have a driver's license so it is the only way I have
142,363,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Fourth,5,8029,Underground,,,Yes,,,,Yes,No,Yes,No,No,No,No,
143,364,Woman,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),Fourth,1,8035,Underground,Renfe,On foot,No,Bus,Underground,On foot,Yes,No,Yes,No,No,No,No,
144,366,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),Third,5,8174,FGC,Bus,On foot,Yes,,,,No,No,No,Yes,No,No,No,
145,374,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8757,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,,No,On foot,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,No,No,No,No,No,Yes,
146,375,Woman,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,3,8221,FGC,Bus,On foot,Yes,,,,Yes,Yes,No,No,No,No,No,
147,376,Woman,Higher Technical School of Architecture of Barcelona (ETSAB),First,3,8940,Tram,Tram,Tram,Yes,,,,Yes,No,Yes,No,No,No,No,
148,377,Man,Faculty of Optics and Optometry of Terrassa (FOOT),First,4,8980,On foot,Renfe,On foot,Yes,,,,Yes,No,No,No,No,No,No,
149,378,Woman,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,5,8005,Bicycle,Underground,Underground,Yes,,,,Yes,No,No,No,No,No,No,
150,379,Man,Faculty of Mathematics and Statistics (FME),Fourth,5,8292,Bus,On foot,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
151,384,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8242,On foot,On foot,On foot,Yes,,,,Yes,No,No,Yes,No,No,No,
152,385,Man,Barcelona School of Informatics (FIB),First,5,8016,On foot,Underground,On foot,Yes,,,,No,Yes,No,Yes,No,No,No,
153,386,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,4,8202,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",,,Yes,,,,Yes,No,Yes,No,No,No,No,
