,COURSE,UPC Code and Acronyms,Municipality_Course,Postal Code Course,Total Course
89,22-23,200 FME,Malgrat de,8380,1
90,22-23,200 FME,Manresa,8242,2
91,22-23,200 FME,Martorelle,8107,1
92,22-23,200 FME,Mataró,8302,1
93,22-23,200 FME,Mataró,8303,1
94,22-23,200 FME,Mataró,8304,1
95,22-23,200 FME,Molins de ,8750,3
96,22-23,200 FME,Mollet del,8100,3
97,22-23,200 FME,Montcada i,8110,2
98,22-23,200 FME,Olèrdola,8734,1
99,22-23,200 FME,Olesa de M,8640,1
100,22-23,200 FME,Oliva,46780,1
101,22-23,200 FME,Olot,17800,1
102,22-23,200 FME,Onil,3430,1
103,22-23,200 FME,Palma de M,7009,1
104,22-23,200 FME,Palma de M,7600,1
105,22-23,200 FME,Pamplona,31008,1
106,22-23,200 FME,Parets del,8150,1
107,22-23,200 FME,Parlavà,17133,1
108,22-23,200 FME,Pineda de ,8397,2
109,22-23,200 FME,Puig-reig,8692,1
110,22-23,200 FME,Ribera d'O,25213,1
111,22-23,200 FME,Ribes de F,17534,1
112,22-23,200 FME,Ripollet,8291,1
113,22-23,200 FME,Rubí,8191,1
114,22-23,200 FME,Sabadell,8203,2
115,22-23,200 FME,Sabadell,8205,2
116,22-23,200 FME,Sabadell,8206,1
117,22-23,200 FME,Sant Anton,8459,1
118,22-23,200 FME,Sant Boi d,8830,1
119,22-23,200 FME,Sant Celon,8470,1
120,22-23,200 FME,Sant Cugat,8172,4
121,22-23,200 FME,Sant Cugat,8173,7
122,22-23,200 FME,Sant Cugat,8174,1
123,22-23,200 FME,Sant Cugat,8195,3
124,22-23,200 FME,Sant Cugat,8197,3
125,22-23,200 FME,Sant Cugat,8198,1
126,22-23,200 FME,Sant Feliu,8980,9
127,22-23,200 FME,Sant Fost ,8105,1
128,22-23,200 FME,Sant Fruit,8272,1
129,22-23,200 FME,Sant Joan ,8970,1
130,22-23,200 FME,Sant Just ,8960,4
131,22-23,200 FME,Sant Just ,8980,1
132,22-23,200 FME,Sant Pere ,8810,2
133,22-23,200 FME,Sant Pere ,8812,1
134,22-23,200 FME,Sant Pol d,8395,1
135,22-23,200 FME,Sant Salva,8253,1
136,22-23,200 FME,Sant Vicen,8394,1
137,22-23,200 FME,Sant Vicen,8620,1
138,22-23,200 FME,Santa Colo,8921,2
139,22-23,200 FME,Santa Colo,8922,1
140,22-23,200 FME,Santa Colo,8923,1
141,22-23,200 FME,Santa Colo,8924,1
142,22-23,200 FME,Santa Colo,17430,2
143,22-23,200 FME,Santa Mari,8460,1
144,22-23,200 FME,Santpedor,8251,1
145,22-23,200 FME,Sarral,43424,1
146,22-23,200 FME,Sense Info,76133,1
147,22-23,200 FME,Sense Info,99999,1
148,22-23,200 FME,Sitges,8870,2
149,22-23,200 FME,Teià,8329,1
150,22-23,200 FME,Terrassa,8221,1
151,22-23,200 FME,Terrassa,8223,1
152,22-23,200 FME,Terrassa,8224,2
153,22-23,200 FME,Terrassa,8225,3
154,22-23,200 FME,Tiana,8391,1
155,22-23,200 FME,Tolosa,20400,1
156,22-23,200 FME,Tona,8551,2
157,22-23,200 FME,Ullà,17140,1
158,22-23,200 FME,Valencia,46005,1
159,22-23,200 FME,Vallirana,8759,1
160,22-23,200 FME,Valls,43800,2
161,22-23,200 FME,Vic,8500,1
162,22-23,200 FME,Viladecans,8840,3
163,22-23,200 FME,Viladecava,8232,1
164,22-23,200 FME,Vilafranca,8720,3
165,22-23,200 FME,Vilanova i,8800,5
166,22-23,200 FME,Vilassar d,8339,1
167,22-23,200 FME,Vilassar d,8340,1
168,22-23,200 FME,Vinyols i ,43391,1
169,22-23,200 FME,Xirivella,46950,1
170,22-23,200 FME,Zaragoza,50015,1
171,22-23,205 ESEIAAT,A Coruña,15009,1
172,22-23,205 ESEIAAT,Abrera,8630,6
173,22-23,205 ESEIAAT,Agramunt,25310,1
174,22-23,205 ESEIAAT,Aguilar de,4714,1
175,22-23,205 ESEIAAT,Aiguafreda,8591,1
176,22-23,205 ESEIAAT,Alella,8328,5
177,22-23,205 ESEIAAT,Alfarràs,25120,2
178,22-23,205 ESEIAAT,Alpicat,25110,1
179,22-23,205 ESEIAAT,Ametlla de,8480,3
180,22-23,205 ESEIAAT,Arenys de ,8350,3
181,22-23,205 ESEIAAT,Arenys de ,8358,3
182,22-23,205 ESEIAAT,Argentona,8310,2
183,22-23,205 ESEIAAT,Artés,8271,1
184,22-23,205 ESEIAAT,Artziniega,1474,1
185,22-23,205 ESEIAAT,Badalona,8391,1
186,22-23,205 ESEIAAT,Badalona,8911,9
187,22-23,205 ESEIAAT,Badalona,8912,8
188,22-23,205 ESEIAAT,Badalona,8913,3
189,22-23,205 ESEIAAT,Badalona,8914,5
190,22-23,205 ESEIAAT,Badalona,8915,4
191,22-23,205 ESEIAAT,Badalona,8916,1
192,22-23,205 ESEIAAT,Badalona,8917,12
193,22-23,205 ESEIAAT,Badalona,8918,3
194,22-23,205 ESEIAAT,Badia del ,8214,7
195,22-23,205 ESEIAAT,Bagà,8695,1
196,22-23,205 ESEIAAT,Balaguer,25600,1
197,22-23,205 ESEIAAT,Balsareny,8660,3
198,22-23,205 ESEIAAT,Banyeres d,43715,1
199,22-23,205 ESEIAAT,Barberà de,8210,24
200,22-23,205 ESEIAAT,Barcelona,0,1
201,22-23,205 ESEIAAT,Barcelona,7500,1
202,22-23,205 ESEIAAT,Barcelona,8001,11
203,22-23,205 ESEIAAT,Barcelona,8002,2
204,22-23,205 ESEIAAT,Barcelona,8003,4
205,22-23,205 ESEIAAT,Barcelona,8004,9
206,22-23,205 ESEIAAT,Barcelona,8005,21
207,22-23,205 ESEIAAT,Barcelona,8006,34
208,22-23,205 ESEIAAT,Barcelona,8007,2
209,22-23,205 ESEIAAT,Barcelona,8008,4
210,22-23,205 ESEIAAT,Barcelona,8009,7
211,22-23,205 ESEIAAT,Barcelona,8010,8
212,22-23,205 ESEIAAT,Barcelona,8011,16
213,22-23,205 ESEIAAT,Barcelona,8012,13
214,22-23,205 ESEIAAT,Barcelona,8013,21
215,22-23,205 ESEIAAT,Barcelona,8014,18
216,22-23,205 ESEIAAT,Barcelona,8015,16
217,22-23,205 ESEIAAT,Barcelona,8016,18
218,22-23,205 ESEIAAT,Barcelona,8017,32
219,22-23,205 ESEIAAT,Barcelona,8018,13
220,22-23,205 ESEIAAT,Barcelona,8019,14
221,22-23,205 ESEIAAT,Barcelona,8020,9
222,22-23,205 ESEIAAT,Barcelona,8021,17
223,22-23,205 ESEIAAT,Barcelona,8022,28
224,22-23,205 ESEIAAT,Barcelona,8023,24
225,22-23,205 ESEIAAT,Barcelona,8024,26
226,22-23,205 ESEIAAT,Barcelona,8025,23
227,22-23,205 ESEIAAT,Barcelona,8026,14
228,22-23,205 ESEIAAT,Barcelona,8027,28
229,22-23,205 ESEIAAT,Barcelona,8028,32
230,22-23,205 ESEIAAT,Barcelona,8029,25
231,22-23,205 ESEIAAT,Barcelona,8030,47
232,22-23,205 ESEIAAT,Barcelona,8031,21
233,22-23,205 ESEIAAT,Barcelona,8032,17
234,22-23,205 ESEIAAT,Barcelona,8033,11
235,22-23,205 ESEIAAT,Barcelona,8034,36
236,22-23,205 ESEIAAT,Barcelona,8035,12
237,22-23,205 ESEIAAT,Barcelona,8036,13
238,22-23,205 ESEIAAT,Barcelona,8037,6
239,22-23,205 ESEIAAT,Barcelona,8038,8
240,22-23,205 ESEIAAT,Barcelona,8041,10
241,22-23,205 ESEIAAT,Barcelona,8042,6
242,22-23,205 ESEIAAT,Barcelona,8083,1
243,22-23,205 ESEIAAT,Barcelona,8173,1
244,22-23,205 ESEIAAT,Barcelona,8222,2
245,22-23,205 ESEIAAT,Barcelona,8232,1
246,22-23,205 ESEIAAT,Barcelona,8291,1
247,22-23,205 ESEIAAT,Barcelona,8500,1
248,22-23,205 ESEIAAT,Barcelona,8901,1
249,22-23,205 ESEIAAT,Barcelona,8903,1
250,22-23,205 ESEIAAT,Barcelona,8906,1
251,22-23,205 ESEIAAT,Barcelona,8907,1
252,22-23,205 ESEIAAT,Barcelona,8980,1
253,22-23,205 ESEIAAT,Barcelona,24007,1
254,22-23,205 ESEIAAT,Begues,8859,1
255,22-23,205 ESEIAAT,Begur,17255,2
256,22-23,205 ESEIAAT,Benicarló,12580,1
257,22-23,205 ESEIAAT,Berga,8600,1
258,22-23,205 ESEIAAT,Bigues i R,8415,11
259,22-23,205 ESEIAAT,Bigues i R,8416,1
260,22-23,205 ESEIAAT,Blanes,17300,1
261,22-23,205 ESEIAAT,Cabrils,8348,7
262,22-23,205 ESEIAAT,Calaf,8280,1
263,22-23,205 ESEIAAT,Calafell,43388,1
264,22-23,205 ESEIAAT,Calafell,43820,1
265,22-23,205 ESEIAAT,Calafell,43882,1
266,22-23,205 ESEIAAT,Calders,8275,1
267,22-23,205 ESEIAAT,Caldes de ,8100,1
268,22-23,205 ESEIAAT,Caldes de ,8140,24
269,22-23,205 ESEIAAT,Caldes de ,8415,1
270,22-23,205 ESEIAAT,Caldes de ,17455,3
271,22-23,205 ESEIAAT,Caldes d'E,8393,1
272,22-23,205 ESEIAAT,Calella,8370,1
273,22-23,205 ESEIAAT,Callús,8262,1
274,22-23,205 ESEIAAT,Calvià,7181,1
275,22-23,205 ESEIAAT,Cambrils,43850,2
276,22-23,205 ESEIAAT,Canovelles,8420,4
277,22-23,205 ESEIAAT,Capellades,8786,1
278,22-23,205 ESEIAAT,Cardedeu,8440,20
279,22-23,205 ESEIAAT,Carme,8787,1
280,22-23,205 ESEIAAT,Castellar ,8211,52
281,22-23,205 ESEIAAT,Castellbel,8296,2
282,22-23,205 ESEIAAT,Castellbis,8755,19
283,22-23,205 ESEIAAT,Castelldef,8860,15
284,22-23,205 ESEIAAT,Castellgal,8297,1
285,22-23,205 ESEIAAT,Castellnou,8251,1
286,22-23,205 ESEIAAT,Castellón ,12005,1
287,22-23,205 ESEIAAT,Castell-Pl,17250,1
288,22-23,205 ESEIAAT,Castellter,8183,1
289,22-23,205 ESEIAAT,Centelles,8540,1
290,22-23,205 ESEIAAT,Cerdanyola,8193,5
291,22-23,205 ESEIAAT,Cerdanyola,8290,69
292,22-23,205 ESEIAAT,Cervelló,8758,5
293,22-23,205 ESEIAAT,Cervià de ,17464,1
294,22-23,205 ESEIAAT,Ciutadella,7760,2
295,22-23,205 ESEIAAT,Collbató,8293,3
296,22-23,205 ESEIAAT,Corbera de,8740,1
297,22-23,205 ESEIAAT,Corbera de,8757,4
298,22-23,205 ESEIAAT,Cornellà d,8031,1
299,22-23,205 ESEIAAT,Cornellà d,8940,21
300,22-23,205 ESEIAAT,Cubelles,8880,1
301,22-23,205 ESEIAAT,Dosrius,8318,1
302,22-23,205 ESEIAAT,Dosrius,8319,1
303,22-23,205 ESEIAAT,El Masnou,8320,7
304,22-23,205 ESEIAAT,El Palau d,25243,1
305,22-23,205 ESEIAAT,El Papiol,8754,4
306,22-23,205 ESEIAAT,El Perelló,43519,1
307,22-23,205 ESEIAAT,El Pla del,8733,1
308,22-23,205 ESEIAAT,El Pont de,8254,2
309,22-23,205 ESEIAAT,El Prat de,8820,7
310,22-23,205 ESEIAAT,El Vendrel,43700,1
311,22-23,205 ESEIAAT,Esparregue,8292,11
312,22-23,205 ESEIAAT,Esplugues ,8950,14
313,22-23,205 ESEIAAT,Estella-Li,31200,1
314,22-23,205 ESEIAAT,Figaró-Mon,8590,2
315,22-23,205 ESEIAAT,Figueres,17600,3
316,22-23,205 ESEIAAT,Fonollosa,8259,1
317,22-23,205 ESEIAAT,Franqueses,8520,4
318,22-23,205 ESEIAAT,Franqueses,8521,3
319,22-23,205 ESEIAAT,Gavà,8850,14
320,22-23,205 ESEIAAT,Gelida,8790,4
321,22-23,205 ESEIAAT,Girona,17001,1
322,22-23,205 ESEIAAT,Girona,17002,1
323,22-23,205 ESEIAAT,Girona,17003,4
324,22-23,205 ESEIAAT,Girona,17004,1
325,22-23,205 ESEIAAT,Girona,17005,2
326,22-23,205 ESEIAAT,Gironella,8680,3
327,22-23,205 ESEIAAT,Granollers,8401,10
328,22-23,205 ESEIAAT,Granollers,8402,14
329,22-23,205 ESEIAAT,Granollers,8403,2
330,22-23,205 ESEIAAT,Granollers,8492,1
331,22-23,205 ESEIAAT,Gurb,8503,1
332,22-23,205 ESEIAAT,Hospitalet,8901,13
333,22-23,205 ESEIAAT,Hospitalet,8902,8
334,22-23,205 ESEIAAT,Hospitalet,8903,7
335,22-23,205 ESEIAAT,Hospitalet,8904,3
336,22-23,205 ESEIAAT,Hospitalet,8905,9
337,22-23,205 ESEIAAT,Hospitalet,8906,10
338,22-23,205 ESEIAAT,Hospitalet,8907,5
339,22-23,205 ESEIAAT,Hospitalet,8908,1
340,22-23,205 ESEIAAT,Hostalets ,8781,1
341,22-23,205 ESEIAAT,Igualada,8700,9
342,22-23,205 ESEIAAT,Inca,7300,1
343,22-23,205 ESEIAAT,Isona i Co,25657,1
344,22-23,205 ESEIAAT,Juneda,25430,1
345,22-23,205 ESEIAAT,La Fuliola,25332,1
346,22-23,205 ESEIAAT,La Garriga,8530,7
347,22-23,205 ESEIAAT,La Granada,8792,1
348,22-23,205 ESEIAAT,La Llagost,8120,7
349,22-23,205 ESEIAAT,La Palma d,8756,1
350,22-23,205 ESEIAAT,La Pobla d,8787,2
351,22-23,205 ESEIAAT,La Pobla d,43140,1
352,22-23,205 ESEIAAT,La Roca de,8430,6
353,22-23,205 ESEIAAT,La Torre d,8789,1
354,22-23,205 ESEIAAT,La Vall d',17176,1
355,22-23,205 ESEIAAT,La Vall d',17178,1
356,22-23,205 ESEIAAT,L'Arboç,43720,1
357,22-23,205 ESEIAAT,L'Escala,17130,1
358,22-23,205 ESEIAAT,Linyola,25240,2
359,22-23,205 ESEIAAT,Lladó,17745,2
360,22-23,205 ESEIAAT,Lleida,25001,1
361,22-23,205 ESEIAAT,Lleida,25003,1
362,22-23,205 ESEIAAT,Lleida,25111,1
363,22-23,205 ESEIAAT,Lliçà d'Am,8186,10
364,22-23,205 ESEIAAT,Lliçà de V,8185,2
365,22-23,205 ESEIAAT,Llinars de,8450,3
366,22-23,205 ESEIAAT,Lloret de ,17310,4
367,22-23,205 ESEIAAT,Los Realej,38410,1
368,22-23,205 ESEIAAT,Madrid,28005,1
369,22-23,205 ESEIAAT,Madrid,28020,1
370,22-23,205 ESEIAAT,Madrid,28034,1
371,22-23,205 ESEIAAT,Málaga,29013,1
372,22-23,205 ESEIAAT,Malgrat de,8380,2
373,22-23,205 ESEIAAT,Manlleu,8560,1
374,22-23,205 ESEIAAT,Manresa,8240,4
375,22-23,205 ESEIAAT,Manresa,8241,7
376,22-23,205 ESEIAAT,Manresa,8242,26
377,22-23,205 ESEIAAT,Manresa,8243,11
378,22-23,205 ESEIAAT,Martorell,8760,13
379,22-23,205 ESEIAAT,Martorelle,8107,6
380,22-23,205 ESEIAAT,Masies de ,8508,1
381,22-23,205 ESEIAAT,Masquefa,8783,4
382,22-23,205 ESEIAAT,Matadepera,8230,65
383,22-23,205 ESEIAAT,Mataró,8301,6
384,22-23,205 ESEIAAT,Mataró,8302,16
385,22-23,205 ESEIAAT,Mataró,8303,7
386,22-23,205 ESEIAAT,Mataró,8304,8
387,22-23,205 ESEIAAT,Mediona,8773,1
388,22-23,205 ESEIAAT,Moià,8180,2
389,22-23,205 ESEIAAT,Molins de ,8222,1
390,22-23,205 ESEIAAT,Molins de ,8750,14
391,22-23,205 ESEIAAT,Mollerussa,25230,1
392,22-23,205 ESEIAAT,Mollet del,8100,43
393,22-23,205 ESEIAAT,Monistrol ,8275,1
394,22-23,205 ESEIAAT,Monistrol ,8691,2
395,22-23,205 ESEIAAT,Montcada i,8110,17
396,22-23,205 ESEIAAT,Montcada i,8290,1
397,22-23,205 ESEIAAT,Montgat,8390,1
398,22-23,205 ESEIAAT,Montmeló,8160,4
399,22-23,205 ESEIAAT,Montornès ,8170,6
400,22-23,205 ESEIAAT,Monzón,22400,1
401,22-23,205 ESEIAAT,Móra d'Ebr,43740,2
402,22-23,205 ESEIAAT,Motril,18600,1
403,22-23,205 ESEIAAT,Navarcles,8270,1
404,22-23,205 ESEIAAT,Navàs,8670,3
405,22-23,205 ESEIAAT,Navata,17744,1
406,22-23,205 ESEIAAT,Nulles,43887,2
407,22-23,205 ESEIAAT,Oiartzun,20180,1
408,22-23,205 ESEIAAT,Olèrdola,8734,1
409,22-23,205 ESEIAAT,Olesa de B,8739,1
410,22-23,205 ESEIAAT,Olesa de M,8640,25
411,22-23,205 ESEIAAT,Olost,8516,1
412,22-23,205 ESEIAAT,Olot,17800,2
413,22-23,205 ESEIAAT,Palafolls,8389,1
414,22-23,205 ESEIAAT,Palau-soli,8184,21
415,22-23,205 ESEIAAT,Pallejà,8753,5
416,22-23,205 ESEIAAT,Pallejà,8780,9
417,22-23,205 ESEIAAT,Palma de M,7006,1
418,22-23,205 ESEIAAT,Parets del,8150,17
419,22-23,205 ESEIAAT,Piera,8784,4
420,22-23,205 ESEIAAT,Pineda de ,8397,1
421,22-23,205 ESEIAAT,Poio,36995,1
422,22-23,205 ESEIAAT,Polinyà,8213,12
423,22-23,205 ESEIAAT,Porqueres,17834,1
424,22-23,205 ESEIAAT,Premià de ,8330,11
425,22-23,205 ESEIAAT,Premià de ,8338,3
426,22-23,205 ESEIAAT,Puigcerdà,17520,1
427,22-23,205 ESEIAAT,Reus,43202,2
428,22-23,205 ESEIAAT,Reus,43203,2
429,22-23,205 ESEIAAT,Reus,43204,1
430,22-23,205 ESEIAAT,Reus,43205,2
431,22-23,205 ESEIAAT,Ripoll,17500,2
432,22-23,205 ESEIAAT,Ripollet,8211,1
433,22-23,205 ESEIAAT,Ripollet,8291,32
434,22-23,205 ESEIAAT,Roquetas d,4720,1
435,22-23,205 ESEIAAT,Roses,17480,2
436,22-23,205 ESEIAAT,Rubí,8191,108
437,22-23,205 ESEIAAT,Rubí,8292,1
438,22-23,205 ESEIAAT,Sabadell,8201,40
439,22-23,205 ESEIAAT,Sabadell,8202,45
440,22-23,205 ESEIAAT,Sabadell,8203,52
441,22-23,205 ESEIAAT,Sabadell,8204,14
442,22-23,205 ESEIAAT,Sabadell,8205,27
443,22-23,205 ESEIAAT,Sabadell,8206,67
444,22-23,205 ESEIAAT,Sabadell,8207,33
445,22-23,205 ESEIAAT,Sabadell,8208,42
446,22-23,205 ESEIAAT,Salou,43840,1
447,22-23,205 ESEIAAT,Salt,17190,3
448,22-23,205 ESEIAAT,Sant Adrià,8030,1
449,22-23,205 ESEIAAT,Sant Adrià,8930,3
450,22-23,205 ESEIAAT,Sant Andre,8392,5
451,22-23,205 ESEIAAT,Sant Andre,8740,10
452,22-23,205 ESEIAAT,Sant Anton,8459,2
453,22-23,205 ESEIAAT,Sant Boi d,8830,14
454,22-23,205 ESEIAAT,Sant Celon,8470,1
455,22-23,205 ESEIAAT,Sant Cugat,8022,1
456,22-23,205 ESEIAAT,Sant Cugat,8172,46
457,22-23,205 ESEIAAT,Sant Cugat,8173,62
458,22-23,205 ESEIAAT,Sant Cugat,8174,12
459,22-23,205 ESEIAAT,Sant Cugat,8185,1
460,22-23,205 ESEIAAT,Sant Cugat,8195,47
461,22-23,205 ESEIAAT,Sant Cugat,8196,1
462,22-23,205 ESEIAAT,Sant Cugat,8197,9
463,22-23,205 ESEIAAT,Sant Cugat,8198,5
464,22-23,205 ESEIAAT,Sant Estev,8635,3
465,22-23,205 ESEIAAT,Sant Feliu,8182,5
466,22-23,205 ESEIAAT,Sant Feliu,8980,21
467,22-23,205 ESEIAAT,Sant Fost ,8105,15
468,22-23,205 ESEIAAT,Sant Fruit,8272,9
469,22-23,205 ESEIAAT,Sant Hipòl,8512,1
470,22-23,205 ESEIAAT,Sant Joan ,8250,6
471,22-23,205 ESEIAAT,Sant Joan ,8970,11
472,22-23,205 ESEIAAT,Sant Josep,7817,1
473,22-23,205 ESEIAAT,Sant Julià,8504,3
474,22-23,205 ESEIAAT,Sant Just ,8960,13
475,22-23,205 ESEIAAT,Sant Llore,8791,1
476,22-23,205 ESEIAAT,Sant Lluís,7710,1
477,22-23,205 ESEIAAT,Sant Pere ,8458,1
478,22-23,205 ESEIAAT,Sant Pere ,8812,1
479,22-23,205 ESEIAAT,Sant Pol d,8395,1
480,22-23,205 ESEIAAT,Sant Quint,8777,1
481,22-23,205 ESEIAAT,Sant Quirz,8192,40
482,22-23,205 ESEIAAT,Sant Quirz,8194,1
483,22-23,205 ESEIAAT,Sant Quirz,8580,1
484,22-23,205 ESEIAAT,Sant Sadur,8770,5
485,22-23,205 ESEIAAT,Sant Salva,8253,1
486,22-23,205 ESEIAAT,Sant Vicen,8295,5
487,22-23,205 ESEIAAT,Sant Vicen,8394,2
488,22-23,205 ESEIAAT,Sant Vicen,8571,1
489,22-23,205 ESEIAAT,Sant Vicen,8620,10
490,22-23,205 ESEIAAT,Santa Colo,8690,3
491,22-23,205 ESEIAAT,Santa Colo,8921,12
492,22-23,205 ESEIAAT,Santa Colo,8922,5
493,22-23,205 ESEIAAT,Santa Colo,8923,3
494,22-23,205 ESEIAAT,Santa Colo,8924,8
495,22-23,205 ESEIAAT,Santa Colo,17430,3
496,22-23,205 ESEIAAT,Santa Eulà,7840,1
497,22-23,205 ESEIAAT,Santa Eulà,8187,5
498,22-23,205 ESEIAAT,Santa Marg,8730,1
499,22-23,205 ESEIAAT,Santa Mari,8106,2
500,22-23,205 ESEIAAT,Santa Mari,8460,1
501,22-23,205 ESEIAAT,Santa Perp,8130,15
502,22-23,205 ESEIAAT,Santpedor,8251,2
503,22-23,205 ESEIAAT,Sense Info,99999,8
504,22-23,205 ESEIAAT,Sentmenat,8181,16
505,22-23,205 ESEIAAT,Seva,8553,2
506,22-23,205 ESEIAAT,Sitges,8870,2
507,22-23,205 ESEIAAT,Solsona,25280,2
508,22-23,205 ESEIAAT,Súria,8260,2
509,22-23,205 ESEIAAT,Susqueda,17166,1
510,22-23,205 ESEIAAT,Taradell,8552,1
511,22-23,205 ESEIAAT,Tarragona,43001,1
512,22-23,205 ESEIAAT,Tarragona,43005,1
513,22-23,205 ESEIAAT,Tarragona,43006,1
514,22-23,205 ESEIAAT,Tarragona,43007,1
515,22-23,205 ESEIAAT,Tàrrega,25300,2
516,22-23,205 ESEIAAT,Teià,8329,1
517,22-23,205 ESEIAAT,Terrassa,8009,1
518,22-23,205 ESEIAAT,Terrassa,8022,1
519,22-23,205 ESEIAAT,Terrassa,8191,2
520,22-23,205 ESEIAAT,Terrassa,8201,2
521,22-23,205 ESEIAAT,Terrassa,8221,124
522,22-23,205 ESEIAAT,Terrassa,8222,380
523,22-23,205 ESEIAAT,Terrassa,8223,65
524,22-23,205 ESEIAAT,Terrassa,8224,108
525,22-23,205 ESEIAAT,Terrassa,8225,98
526,22-23,205 ESEIAAT,Terrassa,8226,67
527,22-23,205 ESEIAAT,Terrassa,8227,39
528,22-23,205 ESEIAAT,Terrassa,8228,19
529,22-23,205 ESEIAAT,Terrassa,8822,1
530,22-23,205 ESEIAAT,Terrassa,8828,1
531,22-23,205 ESEIAAT,Terrassa,25006,1
532,22-23,205 ESEIAAT,Tiana,8391,3
533,22-23,205 ESEIAAT,Tivissa,43746,2
534,22-23,205 ESEIAAT,Torelló,8570,3
535,22-23,205 ESEIAAT,Torredemba,43830,1
536,22-23,205 ESEIAAT,Torrelles ,8629,4
537,22-23,205 ESEIAAT,Tortosa,43500,1
538,22-23,205 ESEIAAT,Tortosa,43510,1
539,22-23,205 ESEIAAT,Tremp,25620,1
540,22-23,205 ESEIAAT,Ullastrell,8231,8
541,22-23,205 ESEIAAT,Ulldecona,43550,1
542,22-23,205 ESEIAAT,Ultramort,17133,1
543,22-23,205 ESEIAAT,Vacarisses,8233,16
