,Número dedeclaraciones,Renta brutamedia,Rentadisponiblemedia,Rentas del trabajo,Rentasexentas,Rentabruta,Cotizacionessocialesa la SS,Cuota resultante deautoliquidación,Rentadisponible
30394-Canteras-Tentengorra,4.022,32.131,25.922,111.400.174,4.946.319,129.231.050,5.440.018,19.534.195,104.256.837
30395-La Puebla,1.311,25.072,20.955,24.928.161,1.308.226,32.869.153,1.375.708,4.021.445,27.472.000
30593-Los Conesas-La Palma-Los Salazares,2.045,24.389,20.341,40.385.223,2.139.525,49.874.925,2.196.391,6.081.511,41.597.023
30594-Pozo Estrecho,2.185,22.611,19.088,41.137.457,1.875.529,49.405.223,2.174.424,5.523.228,41.708.203
Resto,6.657,23.615,19.887,129.413.052,6.960.642,157.203.697,6.210.366,18.606.040,132.387.321
Murcia-30030,222.070,28.675,23.328,5.069.570.683,244.356.847,6.367.839.368,247.186.321,940.143.224,5.180.549.548
30001-La Catedral-San Bartolomé,3.384,47.523,36.732,97.196.632,4.254.826,160.816.956,3.580.731,32.934.925,124.301.831
30002-El Carmen-Buenos Aires,9.776,29.251,23.787,236.644.200,10.203.985,285.957.943,10.187.714,43.230.787,232.545.266
30003-Sta. Eulalia-San Juan-Vistabella,5.549,28.417,23.234,130.012.254,6.339.897,157.686.018,5.361.468,23.406.459,128.926.309
30004-San Antolín-San Pedro-Sta. Catalina,4.029,39.126,30.449,105.270.987,5.227.450,157.638.682,4.149.780,30.811.658,122.678.211
30005-San Andrés-San Nicolás,4.745,35.518,28.287,119.402.843,6.187.906,168.532.717,4.546.202,29.766.412,134.220.509
30006-Puente Tocinos,10.594,23.317,19.631,202.478.913,11.968.108,247.018.359,9.807.092,29.238.198,207.974.738
30007-Zarandona,20.501,35.882,28.220,592.736.013,23.459.288,735.609.284,28.184.305,128.897.233,578.535.742
30008-La Fama,7.898,43.817,33.874,237.471.068,10.509.497,346.069.146,8.480.880,70.054.914,267.533.352
30009-La Albatalia-San Antón-San Basilio-Sta. María de Gracia,15.728,33.358,26.707,415.727.550,19.341.543,524.659.053,18.307.779,86.309.117,420.042.157
30010-La Purísima-Barriomar-San Pío X,6.403,25.757,21.285,140.370.656,7.163.968,164.920.045,7.649.267,20.986.013,136.284.766
30011-Los Dolores,8.789,29.126,23.836,214.804.178,10.555.459,255.989.442,8.968.163,37.522.341,209.498.950
30012-San Benito-Patiño-Progreso,8.300,24.318,20.357,170.059.492,8.538.077,201.840.528,9.059.374,23.818.007,168.964.055
30100-El Puntal,9.151,29.911,24.197,226.293.922,10.803.789,273.718.898,12.231.339,40.064.639,221.423.055
30107-Guadalupe,3.644,33.907,26.791,98.831.657,4.468.554,123.556.462,5.066.226,20.862.522,97.627.714
30110-Cabezo de Torres,10.277,31.985,25.776,237.798.398,11.867.909,328.710.170,12.617.177,51.195.423,264.897.570
30120-El Palmar,9.930,24.272,20.350,205.557.609,10.882.240,241.024.491,10.457.946,28.492.944,202.073.601
30139-El Raal,2.603,20.212,17.242,42.236.715,2.325.144,52.612.921,2.446.847,5.283.934,44.882.140
30150-La Alberca,6.115,30.168,24.313,149.672.482,7.171.549,184.476.491,7.488.279,28.317.244,148.670.969
30151-Santo Angel,3.029,30.292,24.466,76.168.556,3.153.280,91.754.276,3.817.727,13.827.824,74.108.991
30152-Aljucer,3.361,24.996,20.768,71.079.791,3.440.129,84.011.310,3.707.139,10.502.754,69.801.416
30153-Corvera-La Murta-Los Garcías,1.312,21.938,18.518,21.226.590,1.196.414,28.782.694,1.169.479,3.317.622,24.295.708
30157-Algezares,2.458,24.486,20.487,50.377.287,2.740.484,60.186.178,2.625.191,7.204.083,50.356.904
30158-Garres y Lagues,3.071,22.799,19.190,60.477.091,2.716.214,70.016.057,3.451.898,7.630.883,58.933.276
30160-Las Lumbreras-Monteagudo-La Cueva,1.775,22.314,18.966,31.959.801,1.618.922,39.607.602,1.739.227,4.204.252,33.664.122
30161-Llano de Brujas,2.398,22.614,19.032,44.602.305,2.397.418,54.228.005,2.524.004,6.064.891,45.639.111
30162-Santa Cruz,1.111,24.140,20.123,20.035.875,1.191.107,26.819.499,1.091.837,3.370.704,22.356.957
30163-El Esparragal,5.132,26.527,21.805,111.440.196,5.166.699,136.138.823,6.153.519,18.083.480,111.901.824
30166-Nonduermas,1.030,22.568,19.032,20.030.455,1.081.886,23.245.166,1.060.683,2.581.238,19.603.245
30167-La Raya,1.026,21.361,18.208,19.279.106,987.404,21.916.618,998.746,2.236.235,18.681.637
30168-Era Alta,1.219,23.707,20.006,23.645.457,1.330.438,28.898.615,1.372.749,3.138.077,24.387.789
30169-San Ginés,1.199,21.547,18.339,22.007.274,1.191.275,25.834.313,1.315.961,2.529.463,21.988.890
30570-Beniajan,8.202,24.298,20.352,155.466.841,7.659.358,199.290.643,8.494.397,23.866.028,166.930.231
30579-Torreagüera,3.914,22.087,18.674,72.206.664,4.045.339,86.448.921,4.147.918,9.211.518,73.089.956
30580-Alquerías,2.479,19.708,17.080,40.181.597,2.374.803,48.856.994,2.270.343,4.245.911,42.341.152
30589-Los Ramos,1.406,18.885,16.294,23.154.356,1.116.223,26.551.669,1.343.806,2.298.083,22.909.781
30590-Gea y Truyols,1.524,18.683,16.168,22.168.831,941.255,28.472.143,1.001.035,2.831.489,24.639.619
30830-La Ñora,2.341,31.816,25.345,61.750.046,2.541.454,74.481.236,3.152.406,11.996.648,59.332.182
30832-Jabalí Nuevo,1.435,23.883,20.037,30.034.338,1.425.524,34.272.024,1.557.269,3.961.935,28.752.820
30833-Sangonera La Verde,4.767,22.000,18.653,91.169.485,4.714.822,104.872.189,5.362.997,10.588.918,88.920.314
30835-Cañada Hermosa,2.701,24.010,20.024,55.103.447,2.677.041,64.850.640,3.045.399,7.719.220,54.086.021
Resto,17.764,22.375,18.732,323.439.729,17.380.167,397.466.148,17.192.024,47.539.201,332.746.668
Logroño-26089,88.317,29.503,23.981,2.090.335.831,89.006.342,2.605.634.836,97.785.353,389.977.763,2.117.922.685
26001-Casco Antiguo,4.130,33.069,26.383,91.943.072,4.365.391,136.575.973,4.154.238,23.461.752,108.959.984
26002-Centro,9.858,28.720,23.623,217.628.916,10.770.898,283.126.521,8.536.412,41.719.274,232.874.689
26003-El Carmen- Cascajos,8.939,29.746,24.343,210.139.330,8.757.040,265.902.122,8.036.542,40.262.775,217.604.543
26004-San José - Los Lirios,13.616,25.261,21.099,285.644.500,13.046.281,343.950.071,13.064.681,43.622.137,287.281.419
26005-Carretera del Cortijo- El Cubo- Zona Oeste(AVEZO),17.791,26.571,21.996,394.094.296,17.137.295,472.727.564,17.594.097,63.796.123,391.339.265
26006-Varea- La Portalada,9.053,29.655,23.897,228.374.054,9.039.848,268.470.839,12.162.491,39.980.624,216.339.451
26007-La Cava-Fardachón-Las Gaunas-Siete Infantes,19.046,34.487,27.342,521.588.943,19.650.674,656.835.948,26.393.958,109.701.510,520.754.035
26008-San Adrián- La Cava,2.750,34.208,27.101,77.300.415,3.238.282,94.071.585,4.281.450,15.261.748,74.528.387
26009-El Campillo- Polígono Cantabria,1.122,33.667,27.053,26.238.912,1.140.709,37.774.849,1.576.139,5.844.972,30.353.738
Resto,2.012,22.962,18.831,37.383.392,1.859.924,46.199.364,1.985.345,6.326.848,37.887.175

